HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,Z_ACCELERATION_METERS_PER_SECOND_SQUARED
2016-02-22 13:59:57.000,0.008,0.875,0.383
2016-02-22 13:59:57.013,0.039,0.813,0.379
2016-02-22 13:59:57.025,0.047,0.762,0.348
2016-02-22 13:59:57.038,0.051,0.707,0.316
2016-02-22 13:59:57.050,0.070,0.680,0.301
2016-02-22 13:59:57.063,0.109,0.660,0.289
2016-02-22 13:59:57.075,0.141,0.641,0.277
2016-02-22 13:59:57.088,0.156,0.629,0.250
2016-02-22 13:59:57.100,0.164,0.633,0.219
2016-02-22 13:59:57.113,0.152,0.652,0.184
2016-02-22 13:59:57.125,0.145,0.660,0.160
2016-02-22 13:59:57.138,0.137,0.656,0.168
2016-02-22 13:59:57.150,0.141,0.660,0.176
2016-02-22 13:59:57.163,0.148,0.672,0.184
2016-02-22 13:59:57.175,0.152,0.684,0.199
2016-02-22 13:59:57.188,0.148,0.691,0.203
2016-02-22 13:59:57.200,0.137,0.707,0.195
2016-02-22 13:59:57.213,0.133,0.754,0.184
2016-02-22 13:59:57.225,0.145,0.816,0.180
2016-02-22 13:59:57.238,0.164,0.859,0.180
2016-02-22 13:59:57.250,0.184,0.875,0.199
2016-02-22 13:59:57.263,0.199,0.902,0.203
2016-02-22 13:59:57.275,0.219,0.953,0.211
2016-02-22 13:59:57.288,0.242,0.996,0.242
2016-02-22 13:59:57.300,0.270,1.027,0.285
2016-02-22 13:59:57.313,0.309,1.066,0.336
2016-02-22 13:59:57.325,0.336,1.102,0.359
2016-02-22 13:59:57.338,0.336,1.109,0.371
2016-02-22 13:59:57.350,0.316,1.113,0.375
2016-02-22 13:59:57.363,0.293,1.141,0.379
2016-02-22 13:59:57.375,0.277,1.184,0.406
2016-02-22 13:59:57.388,0.289,1.227,0.457
2016-02-22 13:59:57.400,0.309,1.230,0.535
2016-02-22 13:59:57.413,0.301,1.211,0.578
