HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,Z_ACCELERATION_METERS_PER_SECOND_SQUARED
2016-04-22 17:00:00.000,0.918,0.008,-0.289
2016-04-22 17:00:00.013,0.879,0.027,-0.316
2016-04-22 17:00:00.025,0.848,0.043,-0.309
2016-04-22 17:00:00.038,0.824,0.070,-0.316
2016-04-22 17:00:00.050,0.801,0.094,-0.324
2016-04-22 17:00:00.063,0.766,0.109,-0.344
2016-04-22 17:00:00.075,0.762,0.113,-0.363
2016-04-22 17:00:00.088,0.809,0.090,-0.406
2016-04-22 17:00:00.100,0.848,0.043,-0.430
2016-04-22 17:00:00.113,0.926,0.059,-0.375
2016-04-22 17:00:00.125,0.980,0.129,-0.262
2016-04-22 17:00:00.138,0.996,0.164,-0.180
2016-04-22 17:00:00.150,1.016,0.180,-0.121
2016-04-22 17:00:00.163,1.082,0.172,-0.102
2016-04-22 17:00:00.175,1.188,0.063,-0.102
2016-04-22 17:00:00.188,1.297,-0.035,-0.105
2016-04-22 17:00:00.200,1.391,-0.156,-0.105
2016-04-22 17:00:00.213,1.480,-0.281,-0.145
2016-04-22 17:00:00.225,1.551,-0.484,-0.188
2016-04-22 17:00:00.238,1.625,-0.840,-0.184
2016-04-22 17:00:00.250,1.789,-1.109,-0.129
2016-04-22 17:00:00.263,2.129,-1.297,-0.477
2016-04-22 17:00:00.275,1.867,-1.184,-0.691
2016-04-22 17:00:00.288,1.684,-0.172,-0.602
2016-04-22 17:00:00.300,2.043,0.445,-0.629
2016-04-22 17:00:00.313,1.934,0.215,-0.414
2016-04-22 17:00:00.325,1.766,0.215,-0.203
2016-04-22 17:00:00.338,1.840,0.258,-0.328
2016-04-22 17:00:00.350,1.711,0.348,-0.613
2016-04-22 17:00:00.363,1.383,-0.395,-0.734
2016-04-22 17:00:00.375,0.535,-1.375,-0.523
2016-04-22 17:00:00.388,0.316,-1.324,-0.395
2016-04-22 17:00:00.400,0.414,-0.656,-0.406
2016-04-22 17:00:00.413,0.445,-0.273,-0.414
2016-04-22 17:00:00.425,0.434,-0.297,-0.395
2016-04-22 17:00:00.438,0.473,-0.379,-0.344
2016-04-22 17:00:00.450,0.559,-0.328,-0.289
2016-04-22 17:00:00.463,0.676,-0.195,-0.266
2016-04-22 17:00:00.475,0.750,-0.105,-0.301
2016-04-22 17:00:00.488,0.824,-0.078,-0.371
2016-04-22 17:00:00.500,0.906,-0.063,-0.434
2016-04-22 17:00:00.513,1.039,-0.043,-0.469
2016-04-22 17:00:00.525,1.215,0.008,-0.508
2016-04-22 17:00:00.538,1.340,0.070,-0.539
2016-04-22 17:00:00.550,1.504,0.055,-0.555
2016-04-22 17:00:00.563,1.797,-0.012,-0.551
2016-04-22 17:00:00.575,2.211,0.031,-0.543
2016-04-22 17:00:00.588,2.586,0.328,-0.391
2016-04-22 17:00:00.600,2.621,0.605,-0.219
2016-04-22 17:00:00.613,2.398,1.055,-0.109
2016-04-22 17:00:00.625,2.324,1.516,0.066
2016-04-22 17:00:00.638,2.145,1.738,0.168
2016-04-22 17:00:00.650,1.902,1.977,0.371
2016-04-22 17:00:00.663,1.387,2.047,0.980
2016-04-22 17:00:00.675,0.969,2.461,1.406
2016-04-22 17:00:00.688,1.012,2.789,1.477
2016-04-22 17:00:00.700,1.215,2.234,1.266
2016-04-22 17:00:00.713,1.406,1.594,0.059
2016-04-22 17:00:00.725,1.605,-1.902,-1.703
2016-04-22 17:00:00.738,1.254,-2.906,-0.090
2016-04-22 17:00:00.750,2.176,0.484,0.430
2016-04-22 17:00:00.763,3.063,1.539,0.301
2016-04-22 17:00:00.775,1.359,-0.375,-0.012
2016-04-22 17:00:00.788,0.453,-0.141,-0.066
2016-04-22 17:00:00.800,1.375,0.688,-0.090
2016-04-22 17:00:00.813,1.223,0.141,-0.262
2016-04-22 17:00:00.825,0.879,-0.203,-0.277
2016-04-22 17:00:00.838,1.176,0.129,-0.137
2016-04-22 17:00:00.850,1.352,0.063,-0.063
2016-04-22 17:00:00.863,1.254,-0.082,-0.121
2016-04-22 17:00:00.875,1.258,-0.059,-0.195
2016-04-22 17:00:00.888,1.152,-0.070,-0.180
2016-04-22 17:00:00.900,1.090,-0.094,-0.168
2016-04-22 17:00:00.913,1.051,-0.125,-0.262
