HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,Z_ACCELERATION_METERS_PER_SECOND_SQUARED
2016-04-22 17:00:00.000,-2.902,0.539,-0.535
2016-04-22 17:00:00.013,-2.777,1.145,-0.895
2016-04-22 17:00:00.025,-2.465,1.957,-1.105
2016-04-22 17:00:00.038,-1.941,2.922,-1.055
2016-04-22 17:00:00.050,-1.336,3.477,-0.992
2016-04-22 17:00:00.063,-1.262,3.465,-0.789
2016-04-22 17:00:00.075,-1.453,2.855,-0.570
2016-04-22 17:00:00.088,-1.281,2.281,-0.215
2016-04-22 17:00:00.100,-1.816,-1.070,0.082
2016-04-22 17:00:00.113,-1.926,-3.680,-0.480
2016-04-22 17:00:00.125,-1.602,-0.125,0.125
2016-04-22 17:00:00.138,-2.059,2.305,0.625
2016-04-22 17:00:00.150,-2.223,1.453,0.344
2016-04-22 17:00:00.163,-1.594,-0.289,-0.172
2016-04-22 17:00:00.175,-0.563,-0.547,-0.512
2016-04-22 17:00:00.188,-0.789,0.254,-0.359
2016-04-22 17:00:00.200,-1.184,0.133,-0.332
2016-04-22 17:00:00.213,-1.086,0.047,-0.410
2016-04-22 17:00:00.225,-1.137,0.184,-0.258
2016-04-22 17:00:00.238,-1.164,0.023,-0.203
2016-04-22 17:00:00.250,-1.160,0.008,-0.223
2016-04-22 17:00:00.263,-1.121,0.008,-0.223
2016-04-22 17:00:00.275,-1.098,0.035,-0.184
2016-04-22 17:00:00.288,-1.164,0.035,-0.152
2016-04-22 17:00:00.300,-1.211,0.043,-0.105
2016-04-22 17:00:00.313,-1.152,-0.043,-0.195
2016-04-22 17:00:00.325,-1.109,-0.066,-0.250
2016-04-22 17:00:00.338,-1.020,-0.098,-0.297
2016-04-22 17:00:00.350,-0.902,-0.063,-0.305
2016-04-22 17:00:00.363,-0.895,-0.039,-0.328
2016-04-22 17:00:00.375,-0.867,-0.016,-0.375
2016-04-22 17:00:00.388,-0.863,-0.012,-0.398
2016-04-22 17:00:00.400,-0.852,0.008,-0.422
2016-04-22 17:00:00.413,-0.844,0.047,-0.391
2016-04-22 17:00:00.425,-0.816,0.031,-0.391
2016-04-22 17:00:00.438,-0.832,-0.004,-0.395
2016-04-22 17:00:00.450,-0.832,-0.031,-0.441
2016-04-22 17:00:00.463,-0.895,0.008,-0.410
2016-04-22 17:00:00.475,-0.941,0.020,-0.363
2016-04-22 17:00:00.488,-1.008,0.059,-0.281
2016-04-22 17:00:00.500,-1.090,0.008,-0.270
2016-04-22 17:00:00.513,-1.191,0.012,-0.242
